Year,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
11,Bordeaux,Dijon,D,1.57,3.6,6.5,1.6,3.6,6,1.6,3.5,6,1.6,3.5,5.2,1.57,3.3,5.5,1.6,3.6,6
11,Lorient,Evian Thonon Gaillard,A,1.91,3.25,4.33,2,3.2,3.9,1.9,3.2,4,2,3.15,3.45,2,3,3.5,2,3.25,3.8
11,Nancy,Paris SG,H,4.2,3.25,1.91,4.1,3.3,1.91,4,3.2,1.95,3.3,3.1,2.1,3.6,3.1,1.91,4,3.25,1.95
11,Sochaux,Brest,H,2,3.1,4.2,2.05,3.1,3.9,2,3.1,4,2,3.1,3.5,2,3,3.5,2,3.1,4
11,St Etienne,Nice,A,1.8,3.25,5,1.72,3.5,5,1.72,3.4,5,1.75,3.25,4.5,1.7,3.2,4.5,1.8,3.3,4.75
11,Caen,Ajaccio,D,1.83,3.4,4.5,1.88,3.3,4.25,1.95,3.25,4,2,3.2,3.4,1.83,3.2,3.75,1.9,3.25,4.2
11,Lille,Toulouse,H,1.73,3.4,5.25,1.67,3.5,5.5,1.72,3.4,5,1.75,3.25,4.5,1.7,3.2,4.5,1.7,3.4,5.2
11,Rennes,Lyon,D,2.5,3,3,2.55,3.2,2.9,2.55,3.1,2.8,2.6,3.1,2.6,2.4,3,2.62,2.55,3,2.875
11,Ajaccio,St Etienne,D,3,3,2.5,2.95,3,2.5,2.9,3,2.5,2.6,3.1,2.6,2.75,2.9,2.4,2.85,3.1,2.5
11,Brest,Lille,H,5,3.25,1.8,4.6,3.25,1.83,4.5,3.25,1.83,3.9,3.15,1.9,3.6,3.1,1.91,4.75,3.25,1.8
11,Dijon,Nancy,A,2.3,3.1,3.25,2.35,3.1,3.1,2.3,3.1,3.1,2.4,3.05,2.85,2.3,2.9,2.9,2.25,3.1,3.25
11,Evian Thonon Gaillard,Rennes,A,2.75,3.2,2.6,2.7,3.1,2.65,2.7,3.1,2.6,2.5,3.1,2.7,2.6,3,2.5,2.75,3.1,2.6
11,Lyon,Auxerre,H,1.4,4.5,8,1.35,4.5,9.25,1.35,4.5,8.5,1.4,3.9,7.5,1.29,4.5,8,1.363,4.5,8.5
11,Montpellier,Sochaux,H,1.45,4.2,7.5,1.42,4.33,8.75,1.4,4.25,8,1.47,3.8,6.5,1.36,4,7,1.444,4,8
11,Valenciennes,Toulouse,H,2.55,3.1,2.88,2.45,2.9,3.15,2.4,3.1,3,2.45,3.1,2.75,2.38,2.88,2.8,2.5,3.1,2.875
11,Caen,Bordeaux,H,3,3,2.5,2.95,3,2.5,2.8,3.1,2.5,2.5,3.2,2.65,2.5,3,2.6,2.8,3.1,2.55
11,Nice,Lorient,H,2.2,3,3.6,2.25,3,3.4,2.25,3.1,3.25,2.1,3.15,3.25,2.3,2.9,2.9,2.2,3.1,3.4
11,Paris SG,Marseille,H,1.83,3.4,4.5,1.88,3.4,4.5,1.85,3.3,4.25,1.8,3.4,4,1.83,3.2,3.75,1.85,3.4,4.2
