Year,Date,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
10,6/2/2011,Lyon,Bordeaux,D,1.73,3.5,5,1.65,3.5,5.25,1.7,3.4,4.75,1.75,3.3,4.4,1.67,3.3,4.5,1.65,3.4,5
10,6/2/2011,Toulouse,Monaco,H,1.9,3.25,4.33,1.88,3.1,4.5,1.85,3.2,4.2,1.9,3.1,3.9,1.8,3,4.33,1.83,3.1,4.33
10,12/2/2011,Arles,Montpellier,D,4.75,3.3,1.8,5,3.2,1.75,4.5,3.25,1.8,4.4,3.5,1.7,4,3.2,1.8,4.2,3.25,1.8
10,12/2/2011,Bordeaux,Caen,A,1.57,3.6,6.5,1.55,3.6,6.5,1.57,3.5,6,1.6,3.6,5,1.53,3.5,5.5,1.5,3.7,6
10,12/2/2011,Monaco,Lorient,H,2.2,3,3.6,2.15,2.95,3.6,2.2,3,3.3,2.1,3.1,3.3,2.1,3,3.2,2.2,3,3.2
10,12/2/2011,Nancy,Auxerre,H,2.25,3,3.5,2.2,3,3.4,2.2,3.1,3.25,2.3,3,3,2.25,2.88,3,2.2,3,3.2
10,12/2/2011,Paris SG,Lens,D,1.4,4.5,9,1.37,4.25,8.75,1.4,4,8,1.45,3.9,6.5,1.36,4,7,1.4,4,7.5
10,12/2/2011,Sochaux,Marseille,A,3.4,3.2,2.2,3.4,3.1,2.15,3.25,3.1,2.2,3.3,3.1,2.1,2.88,3,2.25,3.2,3,2.2
10,12/2/2011,St Etienne,Lyon,A,3.25,3,2.38,3,3,2.4,3,3,2.35,2.8,3,2.5,2.8,3,2.3,3,3,2.3
10,13/02/11,Lille,Toulouse,H,1.5,3.8,7.5,1.45,3.9,7.5,1.45,3.75,7.5,1.5,3.8,5.7,1.44,3.75,6,1.4,4,7.5
10,13/02/11,Rennes,Nice,H,1.53,3.75,7,1.53,3.5,7,1.55,3.5,6.5,1.55,3.7,5.4,1.5,3.5,6,1.53,3.5,6.25
10,13/02/11,Valenciennes,Brest,H,2.15,3.1,3.6,2.15,3,3.5,2.15,3.1,3.3,2.1,3.1,3.3,2.1,3,3.2,2.05,3.1,3.4
10,18/02/11,Lyon,Nancy,H,1.44,3.8,9.5,1.45,4,7,1.45,4,7,1.45,3.9,6.5,1.4,3.75,7,1.45,3.8,6.75
10,19/02/11,Auxerre,Arles,D,1.36,4.33,9.5,1.35,4.25,9.25,1.35,4.33,9,1.4,3.9,7.5,1.33,4,8,1.35,4.2,8
10,19/02/11,Brest,Monaco,H,2.5,3,3,2.6,2.75,3,2.45,3,3,2.4,3,2.9,2.25,2.88,3,2.3,3,3
10,19/02/11,Caen,Valenciennes,D,2.2,3.1,3.5,2.25,3,3.3,2.25,3,3.3,2.2,3,3.2,2.2,2.88,3.1,2.2,3,3.2
10,19/02/11,Lens,Sochaux,A,2,3.2,4,2.05,3.15,3.6,2.05,3.1,3.75,2,3.2,3.4,2,3,3.4,2,3.1,3.6
10,19/02/11,Lorient,Bordeaux,H,2.38,3,3.25,2.5,2.95,2.9,2.4,3,3,2.5,3,2.7,2.38,2.8,2.88,2.4,3,2.85
10,19/02/11,Marseille,St Etienne,H,1.55,3.6,7,1.55,3.7,6,1.55,3.6,6.5,1.55,3.7,5.4,1.5,3.5,6,1.5,3.6,6.5
10,20/02/11,Montpellier,Lille,H,3.4,3,2.25,3.1,3,2.35,3.5,3,2.2,3,3,2.3,3,2.88,2.25,3.2,3,2.2
10,20/02/11,Nice,Paris SG,A,3.75,3.1,2.1,3.6,3.05,2.1,3.6,3.1,2.1,2.9,3.1,2.3,3.2,3,2.1,3.4,3,2.1
10,20/02/11,Toulouse,Rennes,A,2.4,3,3.2,2.4,2.9,3.1,2.4,3,3,2.2,3.1,3.1,2.3,3,2.8,2.4,2.9,2.95
10,26/02/11,Arles,Brest,D,3.2,3,2.38,3.1,3,2.35,2.9,3.1,2.35,2.9,3,2.4,3.2,3,2.1,2.9,3.1,2.3
10,26/02/11,Bordeaux,Auxerre,H,1.75,3.3,5.25,1.7,3.3,5.25,1.75,3.3,4.75,1.8,3.3,4.1,1.73,3.2,4.33,1.75,3.4,4.2
10,26/02/11,Monaco,Caen,D,1.91,3.1,4.5,1.95,3.1,4.1,1.95,3.1,4,2,3.1,3.5,1.91,3,3.75,1.95,3.1,3.75
10,26/02/11,Rennes,Lens,H,1.73,3.5,5,1.65,3.5,5.25,1.6,3.5,5.5,1.55,3.7,5.4,1.53,3.5,5.5,1.6,3.4,5.5
10,26/02/11,Sochaux,Montpellier,D,2.3,3,3.4,2.2,3.1,3.3,2.2,3,3.3,2.2,3.1,3.1,2.2,3,3,2.25,3,3.1
10,26/02/11,St Etienne,Nice,A,1.75,3.3,5.25,1.75,3.25,5,1.75,3.3,4.75,1.8,3.3,4.1,1.73,3.2,4.33,1.7,3.25,4.8
10,26/02/11,Valenciennes,Lorient,D,2.1,3.1,3.75,2.1,3.1,3.6,2.1,3.1,3.5,2.1,3.1,3.3,2.1,3,3.2,2.1,3,3.4
10,27/02/11,Lille,Lyon,D,2.1,3.25,3.6,2.15,3.2,3.3,2.05,3.2,3.5,2.1,3.2,3.2,2.1,3,3.2,2.1,3.1,3.3
10,27/02/11,Nancy,Marseille,A,3.75,3.2,2.05,3.7,3.25,2,3.6,3.2,2,3.2,3.2,2.1,3.5,3.2,1.91,3.6,3,2.05
10,27/02/11,Paris SG,Toulouse,H,1.62,3.6,6,1.62,3.6,5.5,1.65,3.5,5,1.6,3.6,5,1.62,3.3,5,1.6,3.5,5.25
10,5/3/2011,Auxerre,Paris SG,H,3.25,3.1,2.3,3.3,3.2,2.3,3.1,3.1,2.25,3,3,2.3,3,3,2.2,3.1,3,2.25
10,5/3/2011,Caen,St Etienne,H,2.38,3.1,3.1,2.4,3.1,2.95,2.35,3.1,2.9,2.2,3.1,3.1,2.38,2.88,2.8,2.4,2.95,2.9
10,5/3/2011,Lorient,Nancy,D,1.8,3.3,4.75,1.8,3.4,4.33,1.85,3.2,4.25,1.85,3.2,4.1,1.8,3.2,4,1.8,3.25,4.2
10,5/3/2011,Montpellier,Rennes,A,2.3,3.1,3.2,2.35,3.1,3.3,2.3,3,3.1,2.45,3,2.75,2.3,3,2.8,2.3,3,3
10,5/3/2011,Nice,Lens,D,2.2,3.1,3.5,2.25,2.85,3.5,2.1,3.1,3.4,2.1,3.2,3.2,2.1,3,3.2,2.1,3,3.4
10,5/3/2011,Toulouse,Sochaux,A,1.9,3.25,4.33,1.88,3.2,4.25,1.85,3.2,4.25,1.9,3.2,3.8,1.83,3,4,1.85,3.1,4.2
10,5/3/2011,Valenciennes,Monaco,D,2.1,3.1,3.75,2.15,3.1,3.4,2.1,3.1,3.4,2,3.1,3.5,2,3,3.5,2.1,3.1,3.3
10,6/3/2011,Brest,Bordeaux,A,2.75,3.1,2.63,2.65,3,2.7,2.7,3,2.6,2.6,3,2.6,2.6,2.8,2.6,2.6,3,2.6
10,6/3/2011,Lyon,Arles,H,1.2,6,15,1.2,6,12.5,1.22,5.5,13,1.22,5.3,11,1.2,5.5,9,1.2,5.5,12
10,6/3/2011,Marseille,Lille,A,2.1,3.25,3.6,2.1,3.3,3.7,2.1,3.1,3.4,1.9,3.3,3.7,2,3,3.4,2.1,3.1,3.3
10,11/3/2011,Rennes,Marseille,A,2.63,3,2.88,2.55,2.9,2.9,2.5,3.1,2.75,2.3,3.1,2.9,2.38,2.88,2.8,2.5,3,2.7
10,12/3/2011,Arles,Lorient,D,4,3.2,2,3.75,3.2,2,3.6,3.2,2,3.3,3.1,2.1,3.4,3,2,3.6,3.1,2
10,12/3/2011,Lens,Toulouse,A,2.5,3,3,2.5,2.85,3,2.4,3.1,2.9,2.2,3.1,3.1,2.3,3,2.8,2.4,3,2.85
10,12/3/2011,Nancy,Caen,H,2.1,3.2,3.6,2.05,3.2,3.6,2.05,3.1,3.6,2.2,3.1,3.1,1.91,3.2,3.5,2,3.1,3.6
10,12/3/2011,Nice,Auxerre,H,2.5,3,3,2.35,3,3.1,2.4,3,3,2.3,2.9,3.1,2.3,2.8,3,2.3,3,3
10,12/3/2011,Sochaux,Lyon,A,3.6,3.25,2.1,3.1,3.2,2.25,3.1,3.1,2.25,2.9,3.1,2.3,2.88,3,2.25,3.1,3,2.25
10,12/3/2011,St Etienne,Brest,H,1.91,3.3,4.2,1.88,3.3,4.1,1.9,3.25,4,1.9,3.2,3.8,1.83,3.2,3.75,1.85,3.2,4
10,13/03/11,Bordeaux,Monaco,A,1.83,3.25,4.75,1.83,3.4,4.2,1.85,3.25,4.25,1.8,3.2,4.3,1.73,3.2,4.33,1.8,3.25,4.2
10,13/03/11,Lille,Valenciennes,H,1.44,4,8,1.48,3.9,6.75,1.45,3.75,7.5,1.4,4.1,7,1.4,3.75,7,1.4,4,7.5
10,13/03/11,Paris SG,Montpellier,D,1.7,3.4,5.5,1.7,3.5,4.75,1.75,3.3,4.75,1.65,3.5,4.6,1.73,3.2,4.33,1.7,3.25,4.8
10,19/03/11,Auxerre,Sochaux,H,2.05,3.2,3.75,1.95,3.2,3.9,2,3.1,3.75,2,3.1,3.5,2,2.88,3.6,2,3.1,3.6
10,19/03/11,Brest,Lille,A,4.33,3.2,1.91,3.8,3.25,1.95,3.75,3.25,1.95,3.4,3.2,2,3.6,3.1,1.91,3.75,3.1,1.95
10,19/03/11,Lorient,St Etienne,D,2.05,3.2,3.8,2.05,3.25,3.5,2,3.1,3.75,2,3.1,3.5,1.91,3,3.75,2,3.1,3.6
10,19/03/11,Lyon,Rennes,D,1.8,3.3,4.75,1.75,3.4,4.75,1.75,3.4,4.5,1.8,3.2,4.3,1.73,3.2,4.33,1.75,3.25,4.5
10,19/03/11,Montpellier,Lens,A,1.8,3.4,4.6,1.85,3.2,4.4,1.8,3.2,4.5,1.85,3.3,3.9,1.73,3.1,4.5,1.75,3.2,4.6
10,19/03/11,Toulouse,Nice,D,1.8,3.25,5.25,1.83,3.1,4.65,1.85,3.2,4.25,1.9,3.1,4,1.83,3,4,1.8,3.2,4.33
10,19/03/11,Valenciennes,Bordeaux,D,2.5,3,3,2.35,3.1,3,2.5,3,2.8,2.5,3,2.75,2.38,3,2.75,2.4,3,2.88
10,20/03/11,Caen,Arles,H,1.6,3.5,6.5,1.6,3.6,5.5,1.6,3.5,5.5,1.6,3.5,5.2,1.57,3.3,5.5,1.53,3.6,5.75
10,20/03/11,Marseille,Paris SG,H,2,3.2,4,2,3.3,3.6,1.95,3.2,3.75,2,3.2,3.4,2,3,3.4,2,3.1,3.6
10,20/03/11,Monaco,Nancy,A,2,3.1,4.1,2,3.2,3.75,2,3.1,3.75,1.9,3.2,3.8,2,3,3.5,1.95,3.1,3.75
10,2/4/2011,Arles,Monaco,A,4.33,3.25,1.91,3.9,3.2,1.95,3.75,3.2,1.95,3.3,3.3,2,3.5,3.2,1.91,3.8,3.2,1.9
10,2/4/2011,Lille,Caen,H,1.3,4.75,12,1.35,4.5,8.5,1.35,4.25,9,1.4,3.9,7.5,1.29,4.5,8,1.33,4.33,8.5
10,2/4/2011,Nancy,Bordeaux,D,2.7,2.9,2.88,2.65,3.1,2.6,2.6,3,2.7,2.5,3,2.7,2.5,2.8,2.75,2.5,3,2.7
10,2/4/2011,Paris SG,Lorient,D,1.73,3.4,5.25,1.7,3.4,5,1.7,3.4,4.75,1.7,3.5,4.4,1.67,3.25,4.5,1.7,3.4,4.5
